#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
fasta_files/GCF_019329245.1.fna	NZ_CP073824.1	902621	903508	-	blaZ_138	1-888/888	===============	0/0	100	99.78	resfinder	CP003979	blaZ	Amoxicillin;Ampicillin;Penicillin;Piperacillin
fasta_files/GCF_019329245.1.fna	NZ_CP073824.1	2479453	2479881	-	fosB_4	1-429/429	===============	0/0	100	99.53	resfinder	CP000029	fosB	Fosfomycin
fasta_files/GCF_019329245.1.fna	NZ_CP073824.1	2619084	2621090	+	mecA_6	1-2007/2007	===============	0/0	100	100	resfinder	BX571856	mecA	Amoxicillin;Amoxicillin+Clavulanic_acid;Ampicillin;Ampicillin+Clavulanic_acid;Cefepime;Cefixime;Cefotaxime;Cefoxitin;Ceftazidime;Ertapenem;Imipenem;Meropenem;Piperacillin;Piperacillin+Tazobactam
#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
fasta_files/GCF_034023835.1.fna	NZ_CP120122.1	18438	19325	+	blaZ_79	1-888/888	===============	0/0	100	99.21	resfinder	KU607584	blaZ	Amoxicillin;Ampicillin;Penicillin;Piperacillin
#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
fasta_files/GCF_029691795.1.fna	NZ_CP121480.1	73764	74661	-	blaZ_29	3-900/900	===============	0/0	99.78	98.89	resfinder	JDXN01000019	blaZ	Amoxicillin;Ampicillin;Penicillin;Piperacillin
fasta_files/GCF_029691795.1.fna	NZ_CP121480.1	1145551	1146192	-	fusB_1	1-642/642	===============	0/0	100	100	resfinder	AY373761	fusB	Fusidic_acid
fasta_files/GCF_029691795.1.fna	NZ_CP121480.1	1808740	1809168	+	fosB_4	1-429/429	===============	0/0	100	100	resfinder	CP000029	fosB	Fosfomycin
#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
fasta_files/GCF_045938875.1.fna	NZ_CP064587.1	37728	39734	-	mecA_6	1-2007/2007	===============	0/0	100	100	resfinder	BX571856	mecA	Amoxicillin;Amoxicillin+Clavulanic_acid;Ampicillin;Ampicillin+Clavulanic_acid;Cefepime;Cefixime;Cefotaxime;Cefoxitin;Ceftazidime;Ertapenem;Imipenem;Meropenem;Piperacillin;Piperacillin+Tazobactam
fasta_files/GCF_045938875.1.fna	NZ_CP064587.1	149007	149435	+	fosB_4	1-429/429	===============	0/0	100	99.53	resfinder	CP000029	fosB	Fosfomycin
fasta_files/GCF_045938875.1.fna	NZ_CP064587.1	873765	874406	+	fusB_1	1-642/642	===============	0/0	100	100	resfinder	AY373761	fusB	Fusidic_acid
fasta_files/GCF_045938875.1.fna	NZ_CP064587.1	894558	895445	-	blaZ_138	1-888/888	===============	0/0	100	99.78	resfinder	CP003979	blaZ	Amoxicillin;Ampicillin;Penicillin;Piperacillin
fasta_files/GCF_045938875.1.fna	NZ_CP064588.1	4619	6058	-	aac(6')-aph(2'')_1	1-1440/1440	===============	0/0	100	100	resfinder	M13771	aac(6')-aph(2'')	Amikacin;Gentamicin;Tobramycin
#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
fasta_files/GCF_050881645.1.fna	NZ_CP170607.1	66827	68833	-	mecA_8	1-2007/2007	===============	0/0	100	100	resfinder	NC_007168	mecA	Amoxicillin;Amoxicillin+Clavulanic_acid;Ampicillin;Ampicillin+Clavulanic_acid;Cefepime;Cefixime;Cefotaxime;Cefoxitin;Ceftazidime;Ertapenem;Imipenem;Meropenem;Piperacillin;Piperacillin+Tazobactam
fasta_files/GCF_050881645.1.fna	NZ_CP170607.1	80817	82196	+	tet(K)_1	1-1380/1380	===============	0/0	100	100	resfinder	U38656	tet(K)	Doxycycline;Tetracycline
fasta_files/GCF_050881645.1.fna	NZ_CP170607.1	958285	960204	-	tet(M)_13	1-1920/1920	===============	0/0	100	100	resfinder	AM990992	tet(M)	Doxycycline;Tetracycline;Minocycline
fasta_files/GCF_050881645.1.fna	NZ_CP170607.1	1755734	1756465	+	erm(A)_1	1-732/732	===============	0/0	100	99.86	resfinder	X03216	erm(A)	Erythromycin;Lincomycin;Clindamycin;Quinupristin;Pristinamycin_IA;Virginiamycin_S
fasta_files/GCF_050881645.1.fna	NZ_CP170607.1	1756591	1757373	-	ant(9)-Ia_1	1-783/783	===============	0/0	100	100	resfinder	X02588	ant(9)-Ia	
fasta_files/GCF_050881645.1.fna	NZ_CP170607.1	2046664	2047551	+	blaZ_138	1-888/888	===============	0/0	100	99.78	resfinder	CP003979	blaZ	Amoxicillin;Ampicillin;Penicillin;Piperacillin
fasta_files/GCF_050881645.1.fna	NZ_CP170608.1	941	1789	+	str_2	1-849/849	===============	0/0	100	99.88	resfinder	FN435330	str	Streptomycin
fasta_files/GCF_050881645.1.fna	NZ_CP170609.1	1100	1834	+	erm(C)_13	1-735/735	===============	0/0	100	100	resfinder	M13761	erm(C)	Erythromycin;Lincomycin;Clindamycin;Quinupristin;Pristinamycin_IA;Virginiamycin_S
#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
fasta_files/GCF_000237125.2.fna	NC_016928.2	48148	50154	-	mecA_8	1-2007/2007	===============	0/0	100	100	resfinder	NC_007168	mecA	Amoxicillin;Amoxicillin+Clavulanic_acid;Ampicillin;Ampicillin+Clavulanic_acid;Cefepime;Cefixime;Cefotaxime;Cefoxitin;Ceftazidime;Ertapenem;Imipenem;Meropenem;Piperacillin;Piperacillin+Tazobactam
fasta_files/GCF_000237125.2.fna	NZ_CP039996.1	12942	14321	+	tet(K)_1	1-1380/1380	===============	0/0	100	100	resfinder	U38656	tet(K)	Doxycycline;Tetracycline
#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
fasta_files/GCF_021398305.1.fna	NZ_CP071988.1	172163	172591	+	fosB_3	1-429/429	===============	0/0	100	100	resfinder	ACHE01000077	fosB	Fosfomycin
fasta_files/GCF_021398305.1.fna	NZ_CP071988.1	302824	303723	-	mph(C)_2	1-900/900	===============	0/0	100	100	resfinder	AF167161	mph(C)	Erythromycin;Spiramycin;Telithromycin
fasta_files/GCF_021398305.1.fna	NZ_CP071988.1	303822	305288	-	msr(A)_1	1-1467/1467	===============	0/0	100	99.05	resfinder	X52085	msr(A)	Erythromycin;Azithromycin;Telithromycin;Quinupristin;Pristinamycin_IA;Virginiamycin_S
fasta_files/GCF_021398305.1.fna	NZ_CP071988.1	316508	317302	+	aph(3')-III_1	1-795/795	===============	0/0	100	100	resfinder	M26832	aph(3')-III	Amikacin
fasta_files/GCF_021398305.1.fna	NZ_CP071988.1	908460	909347	-	blaZ_138	1-888/888	===============	0/0	100	99.78	resfinder	CP003979	blaZ	Amoxicillin;Ampicillin;Penicillin;Piperacillin
#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
fasta_files/GCF_016455025.1.fna	NZ_CP066710.1	2423354	2424241	-	blaZ_79	1-888/888	===============	0/0	100	97.64	resfinder	KU607584	blaZ	Amoxicillin;Ampicillin;Penicillin;Piperacillin
#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
fasta_files/GCF_047802145.1.fna	NZ_CP181136.1	1700941	1701827	+	blaZ_78	1-888/888	========/======	1-Jan	99.89	99.44	resfinder	KU607301	blaZ	Amoxicillin;Ampicillin;Penicillin;Piperacillin
#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
fasta_files/GCF_036419715.1.fna	NZ_CP134835.1	198097	198525	+	fosB_4	1-429/429	===============	0/0	100	99.77	resfinder	CP000029	fosB	Fosfomycin
fasta_files/GCF_036419715.1.fna	NZ_CP134835.1	926074	926961	+	blaZ_138	1-888/888	===============	0/0	100	99.44	resfinder	CP003979	blaZ	Amoxicillin;Ampicillin;Penicillin;Piperacillin
#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
fasta_files/GCF_900324365.1.fna	NZ_LT992474.1	631153	633159	-	mecA_8	1-2007/2007	===============	0/0	100	100	resfinder	NC_007168	mecA	Amoxicillin;Amoxicillin+Clavulanic_acid;Ampicillin;Ampicillin+Clavulanic_acid;Cefepime;Cefixime;Cefotaxime;Cefoxitin;Ceftazidime;Ertapenem;Imipenem;Meropenem;Piperacillin;Piperacillin+Tazobactam
fasta_files/GCF_900324365.1.fna	NZ_LT992474.1	645142	646521	+	tet(K)_1	1-1380/1380	===============	0/0	100	100	resfinder	U38656	tet(K)	Doxycycline;Tetracycline
fasta_files/GCF_900324365.1.fna	NZ_LT992474.1	659551	660048	+	dfrG_1	1-498/498	===============	0/0	100	100	resfinder	AB205645	dfrG	Trimethoprim
fasta_files/GCF_900324365.1.fna	NZ_LT992474.1	662790	663677	-	blaZ_78	1-888/888	===============	0/0	100	99.66	resfinder	KU607301	blaZ	Amoxicillin;Ampicillin;Penicillin;Piperacillin
fasta_files/GCF_900324365.1.fna	NZ_LT992474.1	1577697	1579616	-	tet(M)_13	1-1920/1920	===============	0/0	100	100	resfinder	AM990992	tet(M)	Doxycycline;Tetracycline;Minocycline
fasta_files/GCF_900324365.1.fna	NZ_LT992474.1	2329356	2330930	-	vga(E)_1	1-1575/1575	===============	0/0	100	100	resfinder	FR772051	vga(E)	Clindamycin;Dalfopristin;Pristinamycin_IIA;Virginiamycin_M;Tiamulin
fasta_files/GCF_900324365.1.fna	NZ_LT992474.1	2334339	2335070	+	erm(A)_1	1-732/732	===============	0/0	100	100	resfinder	X03216	erm(A)	Erythromycin;Lincomycin;Clindamycin;Quinupristin;Pristinamycin_IA;Virginiamycin_S
fasta_files/GCF_900324365.1.fna	NZ_LT992474.1	2335196	2335978	-	ant(9)-Ia_1	1-783/783	===============	0/0	100	100	resfinder	X02588	ant(9)-Ia	
#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
fasta_files/GCF_046529795.1.fna	NZ_CP170389.1	1268965	1269462	+	dfrG_1	1-498/498	===============	0/0	100	100	resfinder	AB205645	dfrG	Trimethoprim
fasta_files/GCF_046529795.1.fna	NZ_CP170390.1	17527	18414	+	blaZ_78	1-888/888	===============	0/0	100	99.66	resfinder	KU607301	blaZ	Amoxicillin;Ampicillin;Penicillin;Piperacillin
#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
fasta_files/GCF_051013185.1.fna	NZ_CP132501.1	47093	49099	-	mecA_8	1-2007/2007	===============	0/0	100	100	resfinder	NC_007168	mecA	Amoxicillin;Amoxicillin+Clavulanic_acid;Ampicillin;Ampicillin+Clavulanic_acid;Cefepime;Cefixime;Cefotaxime;Cefoxitin;Ceftazidime;Ertapenem;Imipenem;Meropenem;Piperacillin;Piperacillin+Tazobactam
fasta_files/GCF_051013185.1.fna	NZ_CP132501.1	924118	926037	-	tet(M)_13	1-1920/1920	===============	0/0	100	99.95	resfinder	AM990992	tet(M)	Doxycycline;Tetracycline;Minocycline
fasta_files/GCF_051013185.1.fna	NZ_CP132501.1	2005236	2006123	+	blaZ_138	1-888/888	===============	0/0	100	99.89	resfinder	CP003979	blaZ	Amoxicillin;Ampicillin;Penicillin;Piperacillin
fasta_files/GCF_051013185.1.fna	NZ_CP132501.1	2160628	2161431	-	lnu(B)_2	1-804/804	===============	0/0	100	100	resfinder	JQ861959	lnu(B)	Lincomycin;Clindamycin
fasta_files/GCF_051013185.1.fna	NZ_CP132501.1	2161485	2162969	-	lsa(E)_1	1-1485/1485	===============	0/0	100	100	resfinder	JX560992	lsa(E)	Lincomycin;Clindamycin;Dalfopristin;Pristinamycin_IIA;Virginiamycin_M;Tiamulin
fasta_files/GCF_051013185.1.fna	NZ_CP132501.1	2166548	2167411	-	ant(6)-Ia_2	1-864/864	===============	0/0	100	100	resfinder	KF421157	ant(6)-Ia	Streptomycin
fasta_files/GCF_051013185.1.fna	NZ_CP132501.1	2172326	2173702	-	tet(L)_2	1-1377/1377	===============	0/0	100	100	resfinder	M29725	tet(L)	Doxycycline;Tetracycline
fasta_files/GCF_051013185.1.fna	NZ_CP132501.1	2175404	2176174	+	aadD_1	1-771/771	===============	0/0	100	99.74	resfinder	AF181950	aadD	Amikacin;Tobramycin
fasta_files/GCF_051013185.1.fna	NZ_CP132501.1	2536338	2537777	-	aac(6')-aph(2'')_1	1-1440/1440	===============	0/0	100	100	resfinder	M13771	aac(6')-aph(2'')	Amikacin;Gentamicin;Tobramycin
#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
fasta_files/GCF_009912255.1.fna	NZ_CP047833.1	44100	44987	-	blaZ_138	1-888/888	===============	0/0	100	99.89	resfinder	CP003979	blaZ	Amoxicillin;Ampicillin;Penicillin;Piperacillin
#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
fasta_files/GCF_003073415.1.fna	NZ_CP029030.1	39127	41133	-	mecA_6	1-2007/2007	===============	0/0	100	100	resfinder	BX571856	mecA	Amoxicillin;Amoxicillin+Clavulanic_acid;Ampicillin;Ampicillin+Clavulanic_acid;Cefepime;Cefixime;Cefotaxime;Cefoxitin;Ceftazidime;Ertapenem;Imipenem;Meropenem;Piperacillin;Piperacillin+Tazobactam
#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
fasta_files/GCF_041519415.1.fna	NZ_CP167990.1	39080	41086	-	mecA_6	1-2007/2007	===============	0/0	100	100	resfinder	BX571856	mecA	Amoxicillin;Amoxicillin+Clavulanic_acid;Ampicillin;Ampicillin+Clavulanic_acid;Cefepime;Cefixime;Cefotaxime;Cefoxitin;Ceftazidime;Ertapenem;Imipenem;Meropenem;Piperacillin;Piperacillin+Tazobactam
fasta_files/GCF_041519415.1.fna	NZ_CP167991.1	1861	2655	+	aph(3')-III_1	1-795/795	===============	0/0	100	100	resfinder	M26832	aph(3')-III	Amikacin
fasta_files/GCF_041519415.1.fna	NZ_CP167991.1	8049	8936	+	blaZ_79	1-888/888	===============	0/0	100	99.89	resfinder	KU607584	blaZ	Amoxicillin;Ampicillin;Penicillin;Piperacillin
fasta_files/GCF_041519415.1.fna	NZ_CP167991.1	19912	20811	-	mph(C)_2	1-900/900	===============	0/0	100	100	resfinder	AF167161	mph(C)	Erythromycin;Spiramycin;Telithromycin
fasta_files/GCF_041519415.1.fna	NZ_CP167991.1	20910	22376	-	msr(A)_1	1-1467/1467	===============	0/0	100	98.98	resfinder	X52085	msr(A)	Erythromycin;Azithromycin;Telithromycin;Quinupristin;Pristinamycin_IA;Virginiamycin_S
#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
fasta_files/GCF_050881685.1.fna	NZ_CP170674.1	1660431	1661162	+	erm(A)_1	1-732/732	===============	0/0	100	100	resfinder	X03216	erm(A)	Erythromycin;Lincomycin;Clindamycin;Quinupristin;Pristinamycin_IA;Virginiamycin_S
fasta_files/GCF_050881685.1.fna	NZ_CP170674.1	1661288	1662070	-	ant(9)-Ia_1	1-783/783	===============	0/0	100	100	resfinder	X02588	ant(9)-Ia	
#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
fasta_files/GCF_034043395.1.fna	NZ_CP120068.1	18439	19326	+	blaZ_79	1-888/888	===============	0/0	100	99.21	resfinder	KU607584	blaZ	Amoxicillin;Ampicillin;Penicillin;Piperacillin
#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
fasta_files/GCF_050780015.1.fna	NZ_CP192820.1	13269	14156	+	blaZ_79	1-888/888	===============	0/0	100	99.21	resfinder	KU607584	blaZ	Amoxicillin;Ampicillin;Penicillin;Piperacillin
fasta_files/GCF_050780015.1.fna	NZ_CP192820.1	33960	34847	+	blaZ_79	1-888/888	===============	0/0	100	99.21	resfinder	KU607584	blaZ	Amoxicillin;Ampicillin;Penicillin;Piperacillin
#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
fasta_files/GCF_022693285.1.fna	NZ_CP092550.1	39209	41215	-	mecA_6	1-2007/2007	===============	0/0	100	100	resfinder	BX571856	mecA	Amoxicillin;Amoxicillin+Clavulanic_acid;Ampicillin;Ampicillin+Clavulanic_acid;Cefepime;Cefixime;Cefotaxime;Cefoxitin;Ceftazidime;Ertapenem;Imipenem;Meropenem;Piperacillin;Piperacillin+Tazobactam
fasta_files/GCF_022693285.1.fna	NZ_CP092550.1	2640275	2641069	-	aph(3')-III_1	1-795/795	===============	0/0	100	100	resfinder	M26832	aph(3')-III	Amikacin
fasta_files/GCF_022693285.1.fna	NZ_CP092550.1	2652485	2653951	+	msr(A)_1	1-1467/1467	===============	0/0	100	98.91	resfinder	X52085	msr(A)	Erythromycin;Azithromycin;Telithromycin;Quinupristin;Pristinamycin_IA;Virginiamycin_S
fasta_files/GCF_022693285.1.fna	NZ_CP092550.1	2654050	2654949	+	mph(C)_2	1-900/900	===============	0/0	100	99.89	resfinder	AF167161	mph(C)	Erythromycin;Spiramycin;Telithromycin
fasta_files/GCF_022693285.1.fna	NZ_CP092550.1	2673548	2675488	+	tet(S)_3	1-1941/1941	===============	0/0	100	99.9	resfinder	X92946	tet(S)	Doxycycline;Tetracycline;Minocycline
fasta_files/GCF_022693285.1.fna	NZ_CP092550.1	2682074	2682868	-	aph(3')-III_1	1-795/795	===============	0/0	100	100	resfinder	M26832	aph(3')-III	Amikacin
fasta_files/GCF_022693285.1.fna	NZ_CP092550.1	2683488	2684396	-	ant(6)-Ia_1	1-909/909	===============	0/0	100	100	resfinder	AF330699	ant(6)-Ia	Streptomycin
fasta_files/GCF_022693285.1.fna	NZ_CP092550.1	2687655	2688417	-	erm(B)_18	1-762/762	========/======	1-Jan	100	99.34	resfinder	X66468	erm(B)	Erythromycin;Lincomycin;Clindamycin;Quinupristin;Pristinamycin_IA;Virginiamycin_S
fasta_files/GCF_022693285.1.fna	NZ_CP092550.1	2701844	2703283	-	aac(6')-aph(2'')_1	1-1440/1440	===============	0/0	100	100	resfinder	M13771	aac(6')-aph(2'')	Amikacin;Gentamicin;Tobramycin
fasta_files/GCF_022693285.1.fna	NZ_CP092550.1	2719781	2722387	+	VanHAX_2	1-2607/2607	===============	0/0	100	99.92	resfinder	M97297	VanHAX	Vancomycin;Teicoplanin
fasta_files/GCF_022693285.1.fna	NZ_CP092550.1	2743272	2744066	+	aph(3')-III_1	1-795/795	===============	0/0	100	100	resfinder	M26832	aph(3')-III	Amikacin
fasta_files/GCF_022693285.1.fna	NZ_CP092551.1	7713	8600	-	blaZ_79	1-888/888	===============	0/0	100	99.89	resfinder	KU607584	blaZ	Amoxicillin;Ampicillin;Penicillin;Piperacillin
#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
fasta_files/GCF_045009725.1.fna	NZ_CP119705.1	37000	39006	+	mecA_6	1-2007/2007	===============	0/0	100	99.95	resfinder	BX571856	mecA	Amoxicillin;Amoxicillin+Clavulanic_acid;Ampicillin;Ampicillin+Clavulanic_acid;Cefepime;Cefixime;Cefotaxime;Cefoxitin;Ceftazidime;Ertapenem;Imipenem;Meropenem;Piperacillin;Piperacillin+Tazobactam
fasta_files/GCF_045009725.1.fna	NZ_CP119705.1	861804	862301	-	dfrG_1	1-498/498	===============	0/0	100	100	resfinder	AB205645	dfrG	Trimethoprim
fasta_files/GCF_045009725.1.fna	NZ_CP119705.1	1179243	1180682	+	aac(6')-aph(2'')_1	1-1440/1440	===============	0/0	100	100	resfinder	M13771	aac(6')-aph(2'')	Amikacin;Gentamicin;Tobramycin
fasta_files/GCF_045009725.1.fna	NZ_CP119705.1	2578747	2579394	-	cat(pC221)_1	1-648/648	===============	0/0	100	97.69	resfinder	X02529	cat(pC221)	Chloramphenicol
fasta_files/GCF_045009725.1.fna	NZ_CP119705.1	2582777	2583539	+	erm(B)_18	1-762/762	========/======	1-Jan	100	99.21	resfinder	X66468	erm(B)	Erythromycin;Lincomycin;Clindamycin;Quinupristin;Pristinamycin_IA;Virginiamycin_S
fasta_files/GCF_045009725.1.fna	NZ_CP119705.1	2587463	2588257	-	aph(3')-III_1	1-795/795	===============	0/0	100	99.87	resfinder	M26832	aph(3')-III	Amikacin
fasta_files/GCF_045009725.1.fna	NZ_CP119705.1	2588889	2589797	-	ant(6)-Ia_1	1-909/909	===============	0/0	100	100	resfinder	AF330699	ant(6)-Ia	Streptomycin
fasta_files/GCF_045009725.1.fna	NZ_CP119705.1	2633435	2634322	-	blaZ_78	1-888/888	===============	0/0	100	99.66	resfinder	KU607301	blaZ	Amoxicillin;Ampicillin;Penicillin;Piperacillin
fasta_files/GCF_045009725.1.fna	NZ_CP119706.1	4700	6619	-	tet(M)_1	1-1920/1920	===============	0/0	100	100	resfinder	X92947	tet(M)	Doxycycline;Tetracycline;Minocycline
#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
fasta_files/GCF_028596145.1.fna	NZ_CP117237.1	9097	9996	-	blaZ_29	1-900/900	===============	0/0	100	100	resfinder	JDXN01000019	blaZ	Amoxicillin;Ampicillin;Penicillin;Piperacillin
#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
fasta_files/GCF_022832835.1.fna	NZ_CP094853.1	39300	41306	-	mecA_6	1-2007/2007	===============	0/0	100	99.95	resfinder	BX571856	mecA	Amoxicillin;Amoxicillin+Clavulanic_acid;Ampicillin;Ampicillin+Clavulanic_acid;Cefepime;Cefixime;Cefotaxime;Cefoxitin;Ceftazidime;Ertapenem;Imipenem;Meropenem;Piperacillin;Piperacillin+Tazobactam
fasta_files/GCF_022832835.1.fna	NZ_CP094853.1	471560	473479	-	tet(M)_7	1-1920/1920	===============	0/0	100	100	resfinder	FN433596	tet(M)	Doxycycline;Tetracycline;Minocycline
fasta_files/GCF_022832835.1.fna	NZ_CP094853.1	1729667	1730398	+	erm(A)_1	1-732/732	===============	0/0	100	99.86	resfinder	X03216	erm(A)	Erythromycin;Lincomycin;Clindamycin;Quinupristin;Pristinamycin_IA;Virginiamycin_S
fasta_files/GCF_022832835.1.fna	NZ_CP094853.1	1730524	1731306	-	ant(9)-Ia_1	1-783/783	===============	0/0	100	100	resfinder	X02588	ant(9)-Ia	
fasta_files/GCF_022832835.1.fna	NZ_CP094853.1	2765559	2766446	+	blaZ_78	1-888/888	===============	0/0	100	99.55	resfinder	KU607301	blaZ	Amoxicillin;Ampicillin;Penicillin;Piperacillin
fasta_files/GCF_022832835.1.fna	NZ_CP094853.1	2831410	2832849	+	aac(6')-aph(2'')_1	1-1440/1440	===============	0/0	100	99.93	resfinder	M13771	aac(6')-aph(2'')	Amikacin;Gentamicin;Tobramycin
fasta_files/GCF_022832835.1.fna	NZ_CP094853.1	2834699	2835481	-	ant(9)-Ia_1	1-783/783	===============	0/0	100	100	resfinder	X02588	ant(9)-Ia	
fasta_files/GCF_022832835.1.fna	NZ_CP094854.1	1445	2179	+	erm(C)_13	1-735/735	===============	0/0	100	100	resfinder	M13761	erm(C)	Erythromycin;Lincomycin;Clindamycin;Quinupristin;Pristinamycin_IA;Virginiamycin_S
#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
fasta_files/GCF_045934295.1.fna	NZ_CP064543.1	40005	42011	-	mecA_6	1-2007/2007	===============	0/0	100	100	resfinder	BX571856	mecA	Amoxicillin;Amoxicillin+Clavulanic_acid;Ampicillin;Ampicillin+Clavulanic_acid;Cefepime;Cefixime;Cefotaxime;Cefoxitin;Ceftazidime;Ertapenem;Imipenem;Meropenem;Piperacillin;Piperacillin+Tazobactam
fasta_files/GCF_045934295.1.fna	NZ_CP064543.1	228765	229193	+	fosB_4	1-429/429	===============	0/0	100	99.53	resfinder	CP000029	fosB	Fosfomycin
fasta_files/GCF_045934295.1.fna	NZ_CP064543.1	1018789	1019583	+	aph(3')-III_1	1-795/795	===============	0/0	100	100	resfinder	M26832	aph(3')-III	Amikacin
fasta_files/GCF_045934295.1.fna	NZ_CP064543.1	1022826	1024265	+	aac(6')-aph(2'')_1	1-1440/1440	===============	0/0	100	100	resfinder	M13771	aac(6')-aph(2'')	Amikacin;Gentamicin;Tobramycin
fasta_files/GCF_045934295.1.fna	NZ_CP064543.1	1084326	1084967	+	fusB_1	1-642/642	===============	0/0	100	100	resfinder	AY373761	fusB	Fusidic_acid
fasta_files/GCF_045934295.1.fna	NZ_CP064543.1	2301817	2302714	-	blaZ_29	3-900/900	===============	0/0	99.78	98.66	resfinder	JDXN01000019	blaZ	Amoxicillin;Ampicillin;Penicillin;Piperacillin
fasta_files/GCF_045934295.1.fna	NZ_CP064543.1	2319890	2321329	-	aac(6')-aph(2'')_1	1-1440/1440	===============	0/0	100	100	resfinder	M13771	aac(6')-aph(2'')	Amikacin;Gentamicin;Tobramycin
#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
